grupo_presentacion,jurisdiccion_1,jurisdiccion_2,pares_estaciones,distancia_promedio_km,distancia_mediana_km,gap_carga_promedio_pct,gap_carga_mediana_pct,gap_carga_mediana_abs_pct,gap_volumen_promedio_litros,gap_volumen_mediano_litros,consistencia_hipotesis_pct,jurisdiccion_con_menor_carga_mas_frecuente,color_principal_hex,color_acento_hex,color_fondo_hex,color_visual_hex
CABA vs Provincia,CABA,La Matanza,36,1.4663055555555555,1.492,15079.086944444445,12.245000000000001,12.245000000000001,4046445.0,80545.00000000001,66.66666666666666,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Localidad: Abasto,15,1.2568666666666668,1.436,53.52,55.35,55.35,40547187.333333336,287330.0,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Vicente López,13,1.5121538461538462,1.599,16.61230769230769,6.16,6.16,160220.0,195770.0,84.61538461538461,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Localidad: Avellaneda,10,1.0546,0.9355,59.736000000000004,64.84,64.84,330379.0,267430.0,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Avellaneda,8,1.734125,1.8119999999999998,16759.223749999997,55.36,55.36,201220.0,258380.0,87.5,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,General San Martín,5,1.1972,1.133,36.91,36.91,36.91,20732392.0,292580.0,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Tres de Febrero,3,1.327,1.172,46.82,57.31,57.31,42893.333333333336,26819.999999999993,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Lomas de Zamora,2,1.6185,1.6185,17.12,17.12,17.12,297190.0,297190.0,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
CABA vs Provincia,CABA,Lanús,2,1.2215,1.2215,9.52,9.52,9.52,11349.999999999987,11349.999999999987,50.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,La Matanza,Morón,49,1.3216938775510205,1.427,24.612448979591836,19.85,19.85,-4983130.204081632,46190.0,67.3469387755102,Morón,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,San Isidro,Vicente López,25,1.16104,1.1,163.1008,25.21,25.21,141673.2,66809.99999999999,88.0,Vicente López,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Avellaneda,Lanús,21,1.5063809523809524,1.494,16.143333333333334,9.8,9.8,7081345.238095238,58440.0,66.66666666666666,Avellaneda,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,San Fernando,Tigre,20,1.46905,1.5554999999999999,11.4355,7.92,7.92,19608921.5,78275.0,55.00000000000001,Tigre,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,La Matanza,Tres de Febrero,17,1.346235294117647,1.431,15.514117647058825,12.26,12.26,25404.11764705883,359.99999999999943,52.94117647058824,Tres de Febrero,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Almirante Brown,Lomas de Zamora,15,1.5907333333333333,1.805,22.229333333333333,16.14,16.14,3839864.0,-21909.999999999996,40.0,Lomas de Zamora,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,San Fernando,San Isidro,12,1.3535833333333331,1.4155,24.871666666666666,27.79,27.79,18061.666666666664,20985.0,50.0,San Isidro,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Lanús,Lomas de Zamora,12,1.4490833333333333,1.546,19.635833333333334,13.514999999999999,13.514999999999999,-22882.5,-29705.0,41.66666666666667,Lomas de Zamora,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Ituzaingó,Morón,7,1.243142857142857,1.204,29.907142857142855,13.1,13.1,94925.71428571429,91950.0,85.71428571428571,Morón,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Morón,Tres de Febrero,7,1.662857142857143,1.721,28.077142857142857,25.98,25.98,-17495037.14285714,47430.00000000001,71.42857142857143,Tres de Febrero,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Avellaneda,Quilmes,6,1.5703333333333334,1.662,1.285,0.2699999999999996,0.2699999999999996,78576.66666666666,84085.0,83.33333333333334,Avellaneda,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Berazategui,Florencio Varela,6,0.9673333333333334,0.909,6.395,2.389999999999999,2.389999999999999,42938.33333333333,113164.99999999999,66.66666666666666,Berazategui,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Merlo,Moreno,6,1.4020000000000001,1.205,1562.1266666666668,16.32,16.32,-3756.66666666667,19784.999999999996,50.0,Moreno,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Hurlingham,Morón,6,1.5553333333333335,1.625,863.8866666666667,53.69,53.69,-24320.0,-36845.00000000001,16.666666666666664,Morón,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Esteban Echeverría,La Matanza,6,1.6341666666666665,1.745,13.01,11.3,11.3,-132691.66666666666,-135550.0,16.666666666666664,Esteban Echeverría,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Ituzaingó,Merlo,6,1.4809999999999999,1.8115,27.078333333333333,34.175,34.175,-118900.0,-84490.0,0.0,Merlo,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Florencio Varela,Quilmes,5,1.5626,1.66,33.236000000000004,35.31,35.31,112652.0,103140.0,100.0,Quilmes,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Escobar,Tigre,5,0.9158,1.003,5.5200000000000005,4.279999999999999,4.279999999999999,67730.0,38379.99999999999,60.0,Tigre,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Escobar,Malvinas Argentinas,5,0.9104000000000001,0.925,38.21,37.36,37.36,60008.0,-37440.0,40.0,Malvinas Argentinas,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Berazategui,Quilmes,5,1.5582,1.807,11.379999999999999,11.510000000000002,11.510000000000002,-73352960.0,-18830.0,40.0,Berazategui,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Berisso,La Plata,4,1.252,1.161,22.2,22.2,22.2,104347.5,73135.0,75.0,La Plata,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Ituzaingó,Moreno,4,1.3805,1.3705,15.9725,3.620000000000001,3.620000000000001,23592.499999999996,24240.0,75.0,Ituzaingó,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Malvinas Argentinas,Tigre,4,1.2607499999999998,1.137,854.0575,856.28,856.28,180665.0,185600.0,50.0,Malvinas Argentinas,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Esteban Echeverría,Ezeiza,4,1.09375,1.233,15.480000000000002,16.205,16.205,-53310.0,-59115.0,25.0,Ezeiza,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General San Martín,San Isidro,4,1.0995,1.18,3.2,3.2,3.2,-62737.50000000001,-44340.000000000015,25.0,General San Martín,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General San Martín,Tres de Febrero,4,1.302,1.2614999999999998,1838.0075,1829.935,1829.935,-33092.5,-41000.0,25.0,Tres de Febrero,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General San Martín,Vicente López,3,1.5056666666666667,1.556,4.239999999999999,5.699999999999999,5.699999999999999,60640.0,49320.00000000001,100.0,Vicente López,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Almirante Brown,Quilmes,3,1.2463333333333333,1.187,20.153333333333332,9.469999999999999,9.469999999999999,-6930.0,49580.000000000015,66.66666666666666,Almirante Brown,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Esteban Echeverría,Lomas de Zamora,3,1.6239999999999999,1.591,22.69333333333333,28.03,28.03,-31486.66666666667,-22480.000000000004,0.0,Lomas de Zamora,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General Rodríguez,Moreno,2,1.0245,1.0245,47.095,47.095,47.095,73770.00000000003,73770.00000000003,100.0,General Rodríguez,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Almirante Brown,Esteban Echeverría,2,1.707,1.707,23.285,23.285,23.285,62890.0,62890.0,100.0,Esteban Echeverría,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Lomas de Zamora,Quilmes,2,1.759,1.759,40.93,40.93,40.93,37944.999999999985,37944.999999999985,50.0,Quilmes,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,José C. Paz,Malvinas Argentinas,2,1.2445,1.2445,14.415,14.415,14.415,-27115.0,-27115.0,0.0,José C. Paz,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General Lavalle,La Costa,1,1.642,1.642,31.22,31.22,31.22,542380.0,542380.0,100.0,La Costa,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,José C. Paz,San Miguel,1,1.84,1.84,30.0,30.0,30.0,590.0000000000034,590.0000000000034,100.0,San Miguel,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Hurlingham,Tres de Febrero,1,1.92,1.92,16.799999999999997,16.799999999999997,16.799999999999997,16699.99999999999,16699.99999999999,100.0,Hurlingham,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,José C. Paz,Moreno,1,0.289,0.289,21.88,21.88,21.88,-10570.0,-10570.0,0.0,Moreno,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Lanús,Quilmes,1,1.787,1.787,0.020000000000000462,0.020000000000000462,0.020000000000000462,-31480.00000000002,-31480.00000000002,0.0,Quilmes,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
